dataset,brid,pipeid
utilb,"152,961",{1F37FA35-B8C0-4C07-A305-74C74820BBFB}
utilb,"152,962",{7F5BA903-D13A-4211-9D69-2E55EA2ECEB1}
utilb,"152,963",{19091169-D635-4DA4-A2CA-17225A328C0F}
utilb,"152,964",
utilb,"152,966",{AB16A0AC-3143-47DC-895D-0F4B1BA2CA74}
utilb,"152,968",{2FDECB4D-B8EF-4266-B884-D8301C6AC2F7}
utilb,"15,297",{A20237BA-97F4-470C-9027-822FF67F5ADD}
utilb,"152,970",{335D53E7-7AA3-4B4D-B8F9-3A9C8BB55A26}
utilb,"152,971",{4FE9DA32-7660-4EFA-B3F5-93F76E44886D}
utilb,"152,973",{DC7094E3-2C25-4C2D-92BE-32E53F757DB8}
utilb,"15,298",{67B2A02F-E475-4143-B126-278FB24F39F4}
utilb,"152,980",
utilb,"15,299",{3ACD5561-FE86-4DB2-9C97-850840357834}
utilb,"152,990",{812B2A9B-892D-4507-8E68-7601793C41CE}
utilb,"152,994",{FA17184B-F7FF-4FFF-8209-0575BACE855C}
utilb,"152,996",{92635F47-AECD-447A-A447-A93F8D73A625}
utilb,"152,997",{AB1C1E6C-52A1-4688-B1DA-C81BB62711F2}
utilb,153,{0B97FE85-1B7B-4EB8-B2A3-26993876DD64}
utilb,"1,530",{E3879A28-FC58-4B35-A98A-3C8CB4FF70C6}
utilb,"15,300",{A70ACB07-C13C-4345-A62F-97731DBA7FB2}
utilb,"153,000",{D80FB532-ECF7-4140-8A66-ED775EAA7355}
utilb,"153,001",{7B00EC6A-F898-47CF-99F4-D49043329A12}
utilb,"153,003",{A4392058-C817-4B5A-890D-386BBABE2D5C}
utilb,"153,007",{A6A20750-2671-44EA-81D2-C682AF5E4C00}
utilb,"15,301",{A6AB7F02-6A21-48F5-9903-2B6F53EEB7E9}
utilb,"153,014",{232F913A-A624-43A7-AA4E-083E9B13AFC5}
utilb,"15,302",{B526A159-DE45-4D14-8497-0D00DFF22CA9}
utilb,"153,028",{FE5D1FDB-EEBD-441D-9D01-3AE7B326CBAC}
utilb,"15,303",{A6AB7F02-6A21-48F5-9903-2B6F53EEB7E9}
utilb,"153,036",{80B0225D-B4BB-425E-BF8C-6D27699D4C26}
utilb,"15,304",{A6AB7F02-6A21-48F5-9903-2B6F53EEB7E9}
utilb,"153,040",
utilb,"15,305",{C1CEFF74-1F7E-46AB-B82F-84A374AF927B}
utilb,"153,056",{E12E53DC-7EF8-4931-A3DE-286BB0C00A47}
utilb,"153,058",{5ECDE89D-FE03-4D97-A25C-A6DF4E28E9EE}
utilb,"153,059",{CE8E5C9D-0A91-4B4C-9784-4FCAF7B3906B}
utilb,"15,306",{D46F23A9-85B1-4014-B749-BFF1DB0F23E2}
utilb,"153,061",{5772CB08-CD57-4265-9CD5-DAC8D0EDDC3A}
utilb,"153,064",{155E35E8-96B2-498C-9091-31892861E492}
utilb,"153,065",{DA76B606-829A-4C22-AF25-95F68E067C8E}
utilb,"153,066",{2E821E66-BE12-4869-BB5B-AE79B7D4A71C}
utilb,"153,067",{83583969-E448-4959-AAF2-DA14F765B194}
utilb,"153,069",{EAC59D0A-FDC9-4BB3-ACF2-2F7C578CA883}
utilb,"15,307",{7E9ECEE2-4580-49DF-9947-63DD4320A56F}
utilb,"153,071",{3E89E659-F84F-45E7-95C6-0193F47682CB}
utilb,"153,078",{6293739A-304F-4311-AE55-859F3C0284CB}
utilb,"153,082",{ABC230F9-714A-4972-99CB-906D53AC6932}
utilb,"15,309",{A23C74F2-3907-443D-B86A-92C517029814}
utilb,"153,090",{56F7A76E-A189-402E-8C51-A2B6660CAEBA}
utilb,"153,091",{5A7C3C9A-6002-4F44-BAE9-46BEBC626F2A}
